date,tm1,ats1,tm2,ou,ml1,ml2,pts1,pts2,tpts,wl1,wl2
2024-10-22,New York Knicks,6.0,Boston Celtics,221.5,205,-250,109,132,241,0,1
2024-10-22,Minnesota Timberwolves,-1.0,Los Angeles Lakers,224.0,-116,-102,103,110,213,0,1
2024-10-23,Indiana Pacers,-6.0,Detroit Pistons,234.5,-235,194,115,109,224,1,0
2024-10-23,Milwaukee Bucks,-4.0,Philadelphia 76ers,221.5,-190,160,124,109,233,1,0
2024-10-23,Cleveland Cavaliers,-6.5,Toronto Raptors,225.5,-255,210,136,106,242,1,0
2024-10-23,Brooklyn Nets,6.5,Atlanta Hawks,223.5,225,-275,116,120,236,0,1
2024-10-23,Orlando Magic,2.0,Miami Heat,208.0,112,-132,116,97,213,1,0
2024-10-23,Charlotte Hornets,8.5,Houston Rockets,230.5,280,-350,110,105,215,1,0
2024-10-23,Chicago Bulls,3.5,New Orleans Pelicans,221.5,158,-205,111,123,234,0,1
2024-10-23,Memphis Grizzlies,-2.0,Utah Jazz,229.5,-134,114,126,124,250,1,0
2024-10-23,Phoenix Suns,-5.0,LA Clippers,224.5,-220,184,116,113,229,1,0
2024-10-23,Golden State Warriors,-7.5,Portland Trail Blazers,222.0,-295,240,140,104,244,1,0
2024-10-24,Boston Celtics,-14.0,Washington Wizards,231.0,-950,640,122,102,224,1,0
2024-10-24,San Antonio Spurs,8.5,Dallas Mavericks,227.5,300,-375,109,120,229,0,1
2024-10-24,Minnesota Timberwolves,-1.0,Sacramento Kings,222.0,-112,-104,117,115,232,1,0
2024-10-24,Oklahoma City Thunder,2.0,Denver Nuggets,228.5,112,-132,102,87,189,1,0
2024-10-25,Philadelphia 76ers,-5.5,Toronto Raptors,220.0,-220,184,107,115,222,0,1
2024-10-25,Brooklyn Nets,11.5,Orlando Magic,214.0,460,-620,101,116,217,0,1
2024-10-25,Detroit Pistons,10.5,Cleveland Cavaliers,224.5,385,-500,101,113,214,0,1
2024-10-25,Indiana Pacers,4.5,New York Knicks,229.0,168,-200,98,123,221,0,1
2024-10-25,Charlotte Hornets,5.5,Atlanta Hawks,227.0,194,-235,120,125,245,0,1
2024-10-25,Memphis Grizzlies,3.5,Houston Rockets,226.5,144,-172,108,128,236,0,1
2024-10-25,Chicago Bulls,9.5,Milwaukee Bucks,234.0,360,-460,133,122,255,1,0
2024-10-25,Golden State Warriors,-6.5,Utah Jazz,235.5,-255,210,127,86,213,1,0
2024-10-25,New Orleans Pelicans,-6.5,Portland Trail Blazers,219.0,-250,205,105,103,208,1,0
2024-10-25,Phoenix Suns,1.5,Los Angeles Lakers,227.0,106,-124,116,123,239,0,1
2024-10-26,LA Clippers,7.5,Denver Nuggets,218.0,265,-330,109,104,213,1,0
2024-10-26,Cleveland Cavaliers,-9.5,Washington Wizards,227.0,-450,350,135,116,251,1,0
2024-10-26,Miami Heat,-5.5,Charlotte Hornets,224.5,-240,198,114,106,220,1,0
2024-10-26,Boston Celtics,-12.5,Detroit Pistons,224.5,-900,610,124,118,242,1,0
2024-10-26,Orlando Magic,1.0,Memphis Grizzlies,222.0,100,-118,111,124,235,0,1
2024-10-26,Toronto Raptors,15.0,Minnesota Timberwolves,218.5,750,-1200,101,112,213,0,1
2024-10-26,Oklahoma City Thunder,-9.5,Chicago Bulls,232.5,-390,310,114,95,209,1,0
2024-10-26,Houston Rockets,1.5,San Antonio Spurs,229.5,116,-148,106,109,215,0,1
2024-10-26,Dallas Mavericks,-4.0,Phoenix Suns,229.0,-176,148,102,114,216,0,1
2024-10-26,Sacramento Kings,1.0,Los Angeles Lakers,230.5,-104,-112,127,131,258,0,1
2024-10-27,Philadelphia 76ers,8.5,Indiana Pacers,230.0,280,-350,118,114,232,1,0
2024-10-27,New Orleans Pelicans,-6.5,Portland Trail Blazers,221.5,-245,200,103,125,228,0,1
2024-10-27,Milwaukee Bucks,-8.5,Brooklyn Nets,228.0,-350,280,102,115,217,0,1
2024-10-27,Atlanta Hawks,11.0,Oklahoma City Thunder,230.0,400,-520,104,128,232,0,1
2024-10-27,LA Clippers,9.0,Golden State Warriors,221.0,320,-405,112,104,216,1,0
2024-10-28,Indiana Pacers,5.5,Orlando Magic,226.5,188,-220,115,119,234,0,1
2024-10-28,Detroit Pistons,8.5,Miami Heat,219.5,290,-360,98,106,204,0,1
2024-10-28,Washington Wizards,7.5,Atlanta Hawks,234.5,240,-295,121,119,240,1,0
2024-10-28,Denver Nuggets,-8.0,Toronto Raptors,223.5,-335,270,127,125,252,1,0
2024-10-28,Milwaukee Bucks,9.0,Boston Celtics,232.0,320,-405,108,119,227,0,1
2024-10-28,Cleveland Cavaliers,3.0,New York Knicks,222.0,126,-148,110,104,214,1,0
2024-10-28,Chicago Bulls,5.5,Memphis Grizzlies,232.0,184,-220,126,123,249,1,0
2024-10-28,Houston Rockets,-2.5,San Antonio Spurs,220.0,-138,118,106,101,207,1,0
2024-10-28,Utah Jazz,12.0,Dallas Mavericks,231.5,530,-750,102,110,212,0,1
2024-10-28,Portland Trail Blazers,13.0,Sacramento Kings,231.0,570,-800,98,111,209,0,1
2024-10-28,Los Angeles Lakers,4.5,Phoenix Suns,229.0,162,-194,105,109,214,0,1
2024-10-29,Dallas Mavericks,4.0,Minnesota Timberwolves,221.0,146,-174,120,114,234,1,0
2024-10-29,Denver Nuggets,-5.5,Brooklyn Nets,218.5,-225,188,144,139,283,1,0
